Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-October-2024,328.35,328.35,311.40,314.35,319.280729091172633715,965860,18125,308380485.00,441040,45.66,16.95,-14.00
21-October-2024,334.20,334.40,326.00,327.05,329.711047337104156884,1258611,24161,414977951.00,608304,48.33,8.40,-7.15
18-October-2024,330.85,332.95,325.40,330.55,329.444308377716816095,1407806,21780,463793674.00,524678,37.27,7.55,-0.30
17-October-2024,334.50,335.20,328.75,329.25,331.103085027943706521,1403715,53164,464774367.00,687318,48.96,6.45,-5.25
16-October-2024,337.45,339.20,332.75,333.85,335.857567161620112706,974031,23457,327135682.00,451606,46.36,6.45,-3.60
15-October-2024,341.55,341.95,336.20,336.85,337.829254278382713657,459461,7798,155219367.00,209037,45.50,5.75,-4.70
14-October-2024,343.00,343.45,338.70,339.90,341.432720997408529685,861673,17608,294203357.00,394260,45.76,4.75,-3.10
11-October-2024,343.50,344.45,340.50,341.55,342.489230286878821131,350845,5279,120160634.00,135050,38.49,3.95,-1.95
10-October-2024,345.05,347.40,343.00,343.75,344.822074511803954461,474502,5683,163618764.00,152810,32.20,4.40,-1.30
9-October-2024,349.35,349.35,341.30,342.60,345.323696320311051427,711908,8508,245838702.00,197635,27.76,8.05,-6.75
8-October-2024,335.00,349.35,333.05,345.45,340.310652638581148170,1022235,12337,347877460.00,247299,24.19,16.30,10.45
7-October-2024,346.90,349.50,329.45,336.10,338.358387114722710592,1923063,24694,650684495.00,583423,30.34,20.05,-10.80
4-October-2024,344.50,345.05,336.35,338.75,340.875806686314076884,1140778,13552,388863621.00,413661,36.26,8.70,-5.75
3-October-2024,343.90,350.00,339.15,345.50,343.635762290774692684,1482433,19419,509416994.00,593730,40.05,10.85,1.60
1-October-2024,352.00,353.00,346.40,350.90,349.739032633828858165,1830248,24258,640109165.00,654718,35.77,6.60,-1.10
30-September-2024,357.85,358.00,349.80,350.70,352.585575474529706844,1392642,18131,491025481.00,776945,55.79,8.20,-7.15
27-September-2024,350.00,363.00,349.15,358.80,358.360953375878142243,5682166,74775,2036266425.00,2980999,52.46,13.85,8.80
26-September-2024,352.60,353.55,349.00,349.85,350.526887801650776035,374854,5584,131396406.00,128563,34.30,4.55,-2.75
25-September-2024,351.25,354.90,349.10,352.45,351.308723319013286944,576581,7447,202557935.00,182389,31.63,5.80,1.20
24-September-2024,354.40,355.85,349.15,352.20,351.965010773565695072,844660,10586,297290766.00,269310,31.88,6.70,-2.20
23-September-2024,354.30,361.10,352.10,354.05,356.240054485268089204,2508568,32076,893652401.00,1406335,56.06,9.00,-0.25
20-September-2024,348.00,355.70,348.00,354.30,352.809235451965669536,1529021,16761,539452730.00,514802,33.67,7.70,6.30
19-September-2024,349.00,350.50,338.50,346.20,344.073102598531467685,1157346,14155,398211629.00,319077,27.57,12.00,-2.80
18-September-2024,350.25,353.50,345.00,346.75,348.364091231780451963,1611456,24530,561373405.00,785927,48.77,8.50,-3.50
17-September-2024,348.80,355.05,344.05,351.65,348.133607478723478527,1862029,28788,648234873.00,965428,51.85,11.00,2.85
16-September-2024,352.00,354.15,347.50,348.90,350.325967144577186149,1485843,24755,520529386.00,775091,52.16,6.65,-3.10
13-September-2024,350.60,354.30,346.90,351.95,350.138957542211066057,932220,12299,326406539.00,335113,35.95,7.40,1.35
12-September-2024,346.65,351.45,342.45,349.60,346.990049837134377467,1969415,30682,683367409.00,895866,45.49,9.00,2.95
11-September-2024,352.05,355.35,343.10,344.30,350.522226751045800707,932300,13700,326791872.00,283425,30.40,12.25,-7.75
10-September-2024,343.40,359.85,340.85,351.25,352.180388737162112288,2912765,33740,1025818710.00,869817,29.86,19.00,7.85
9-September-2024,337.00,345.80,329.35,341.15,336.359665641985492962,2352927,35075,791429739.00,816315,34.69,16.45,4.15
6-September-2024,345.35,345.95,336.00,336.90,338.818103555988168317,2329001,42567,789107702.00,1005055,43.15,9.95,-8.45
5-September-2024,348.95,350.20,344.00,345.35,347.488439948316258746,2413138,28155,838537559.00,995699,41.26,6.20,-3.60
4-September-2024,345.00,350.00,342.85,347.20,346.302651663270836334,2332272,32869,807671978.00,1051529,45.09,7.15,2.20
3-September-2024,350.20,354.80,342.65,350.45,348.297237774829286460,3651585,36709,1271836969.00,919207,25.17,12.15,0.25
2-September-2024,324.25,349.20,323.20,344.65,336.130111947717181083,6608978,97262,2221476515.00,3544654,53.63,26.00,20.40
30-August-2024,328.15,331.60,320.50,321.75,326.157680633090321628,3000267,45338,978560126.00,1462304,48.74,11.10,-6.40
29-August-2024,324.10,333.00,324.00,325.70,327.240547319094538895,3847189,52862,1258956234.00,1394423,36.25,9.00,1.60
28-August-2024,327.00,330.00,321.10,322.35,326.379416057687952226,2273889,35967,742150564.00,887169,39.02,8.90,-4.65
27-August-2024,324.50,326.55,321.90,323.60,323.553539291788767770,1275241,13518,412608739.00,658217,51.62,4.65,-0.90
26-August-2024,333.20,334.20,321.80,323.20,325.929908570932829452,2466721,37874,803978150.00,1117575,45.31,12.40,-10.00
23-August-2024,329.65,333.70,326.80,327.20,329.843047275496667048,976912,19028,322227631.00,449856,46.05,6.90,-2.45
22-August-2024,332.00,334.00,328.90,329.60,331.075200677185852149,1379828,20543,456826832.00,890303,64.52,5.10,-2.40
21-August-2024,336.00,337.00,330.00,331.10,333.309105931566844240,865370,14780,288435701.00,316285,36.55,7.00,-4.90
20-August-2024,332.85,337.90,331.70,333.35,334.136803656926575108,2168597,36361,724608070.00,1369952,63.17,6.20,0.50
19-August-2024,332.30,334.50,328.85,331.50,331.312362844738054247,1141954,14568,378343478.00,580664,50.85,5.65,-0.80
16-August-2024,324.00,329.50,319.55,327.90,322.172813903726576142,1788988,30222,576363298.00,1153399,64.47,9.95,3.90
14-August-2024,326.00,326.30,319.10,320.05,322.611462920364812252,1446333,27108,466603605.00,789989,54.62,7.20,-5.95
13-August-2024,329.95,336.55,322.00,323.35,330.121849880045496688,1046230,14705,345383383.00,414074,39.58,14.55,-6.60
12-August-2024,324.15,330.75,322.45,329.10,326.701859867611926335,1753028,30304,572717508.00,711440,40.58,8.30,4.95
9-August-2024,330.55,330.55,324.60,325.60,327.323896556168190783,1427712,29385,467324255.00,725330,50.80,5.95,-4.95
8-August-2024,330.35,330.70,324.05,326.45,327.305374933842046796,1375496,24255,450207234.00,486490,35.37,6.65,-3.90
7-August-2024,316.00,337.30,313.35,330.15,321.814572490442589470,2255318,36639,725794198.00,944996,41.90,23.95,14.15
6-August-2024,317.00,322.00,310.00,311.55,316.989872582364587034,984950,16621,312219175.00,468110,47.53,12.00,-5.45
5-August-2024,310.55,322.00,310.55,317.00,317.488530014632280636,3900964,85152,1238511326.00,2050403,52.56,11.45,6.45
2-August-2024,325.25,328.20,324.40,326.35,326.743102820403345304,1274144,31332,416317764.00,650115,51.02,3.80,1.10
1-August-2024,328.65,332.90,328.50,328.75,330.471561535647955795,1408005,26072,465305611.00,648427,46.05,4.40,0.10
31-July-2024,329.40,331.20,327.50,328.60,329.283106280086678537,1314743,29467,432922659.00,663706,50.48,3.70,-0.80
30-July-2024,330.95,331.70,329.00,329.40,330.108781743456248915,1135549,29481,374854697.00,776001,68.34,2.70,-1.55
29-July-2024,334.05,335.15,329.75,330.20,332.138925423434490254,1865814,37508,619709457.00,1027295,55.06,5.40,-3.85
26-July-2024,329.45,336.50,329.45,331.90,333.127821101290312091,1845290,32839,614717437.00,1012661,54.88,7.05,2.45
25-July-2024,332.75,333.55,329.00,329.40,330.743353612132437215,1745008,42346,577149798.00,941349,53.95,4.55,-3.35
24-July-2024,335.00,338.95,334.40,334.80,335.943832796820062222,1481790,28874,497798212.00,826388,55.77,4.55,-0.20
23-July-2024,342.25,342.30,326.00,334.95,335.512129836185973193,2363717,49585,793055725.00,1003858,42.47,16.30,-7.30
22-July-2024,339.00,343.10,334.40,341.05,339.357655826623619030,1036681,10364,351805634.00,649543,62.66,8.70,2.05
19-July-2024,337.45,342.00,332.00,338.70,336.981253502767579957,794015,12944,267568170.00,276065,34.77,10.00,1.25
18-July-2024,345.05,346.00,335.90,336.65,338.913071914724490879,2946309,68819,998542634.00,1493908,50.70,10.10,-8.40
16-July-2024,350.55,350.55,343.10,344.25,346.801684739192093089,1291832,22189,448009514.00,759596,58.80,7.45,-6.30
15-July-2024,354.50,356.50,351.75,355.25,353.761365575376522475,1881229,29012,665506140.00,1042729,55.43,4.75,0.75
12-July-2024,353.55,356.50,350.00,350.35,352.425766776631435915,2141595,28660,754753260.00,980574,45.79,6.50,-3.20
11-July-2024,349.10,351.15,347.00,348.05,348.338949269014586729,485167,7518,169002563.00,232046,47.83,4.15,-1.05
10-July-2024,350.00,351.10,344.00,347.90,347.856547925029315324,1515419,31039,527148422.00,728289,48.06,7.10,-2.10
9-July-2024,348.40,353.50,348.40,349.95,350.936788157496413690,1314722,22671,461384316.00,741965,56.44,5.10,1.55
8-July-2024,352.60,353.75,347.50,348.35,350.294198412302161865,640928,10742,224513360.00,343011,53.52,6.25,-4.25
5-July-2024,350.85,354.60,349.25,352.50,350.946241184310985157,1931925,38337,678001817.00,882518,45.68,5.35,1.65
4-July-2024,352.00,356.80,350.35,350.85,352.578094796214412289,894445,11935,315361714.00,520690,58.21,6.45,-1.15
3-July-2024,352.60,356.20,349.65,351.25,351.272207542440401412,2680936,31584,941738307.00,1929214,71.96,6.55,-1.35
2-July-2024,350.90,355.35,349.85,351.00,352.173320789338082815,2227892,35874,784604124.00,1357874,60.95,5.50,0.10
1-July-2024,358.10,358.50,352.05,352.90,353.854454111628103636,1040634,13145,368232976.00,542789,52.16,6.45,-5.20
28-June-2024,357.00,362.00,355.45,358.10,358.419570919376048380,987833,10678,354058680.00,288529,29.21,6.55,1.10
27-June-2024,356.30,358.30,348.20,353.45,354.026737182769624742,1927503,32327,682387598.00,914335,47.44,10.10,-2.85
26-June-2024,359.00,359.65,353.20,356.30,355.608119899522853743,832030,11302,295876624.00,309521,37.20,6.45,-2.70
25-June-2024,356.05,362.55,356.05,358.90,359.009587468553331107,614135,7370,220480353.00,211398,34.42,6.50,2.85
24-June-2024,356.60,356.60,352.20,355.30,354.875424679049726819,952484,14779,338013164.00,481971,50.60,4.40,-1.30
21-June-2024,365.90,366.75,359.30,360.60,362.744666552935643610,867544,21281,314696959.00,363467,41.90,7.45,-5.30
20-June-2024,358.50,368.30,358.05,364.45,364.146358084703707005,1929644,15897,702672835.00,898300,46.55,10.25,5.95
19-June-2024,363.55,366.00,357.00,358.25,360.064173123835764402,873964,13277,314683125.00,371919,42.56,9.00,-5.30
18-June-2024,358.05,364.90,357.40,363.10,362.574093109854051783,2865948,44921,1039118497.00,1849539,64.53,7.50,5.05
14-June-2024,362.00,362.80,356.10,357.05,358.300365985505751473,1570554,29820,562730073.00,742261,47.26,6.70,-4.95
13-June-2024,365.00,366.45,358.30,360.80,362.285272393519949339,1122769,18995,406762673.00,416563,37.10,8.15,-4.20
12-June-2024,352.40,363.50,351.50,360.90,356.721677850283842279,2794862,43065,996987862.00,1732285,61.98,12.00,8.50
11-June-2024,351.45,354.25,349.50,350.25,352.024679637980161357,1441026,24055,507276716.00,686364,47.63,4.75,-1.20
